729;28.69;25.03;25.23;9.038;8.071;0;0.058;0.027;
730;28.69;25.03;25.23;9.023;8.071;0;0.057;0.031;
731;28.59;25.03;25.23;9.067;8.115;0;0.057;0.027;
732;28.59;25.03;25.13;9.038;8.071;0;0.056;0.028;
733;28.59;25.03;25.23;9.067;8.115;0;0.059;0.028;
734;28.69;25.03;25.23;9.067;8.115;0;0.061;0.029;
736;28.69;25.03;25.23;9.023;8.071;0;0.054;0.029;
737;28.59;25.03;25.23;9.067;8.115;0;0.059;0.023;
738;28.59;25.03;25.23;9.067;8.115;0;0.057;0.028;
739;28.69;25.03;25.23;9.023;8.071;0;0.058;0.028;
740;28.59;25.03;25.23;9.067;8.115;0;0.056;0.027;
741;28.69;25.03;25.23;9.038;8.085;0;0.054;0.029;
742;28.69;25.13;25.23;9.067;8.100;0;0.056;0.026;
744;28.59;25.03;25.23;9.038;8.071;0;0.056;0.023;
745;28.59;25.03;25.23;9.067;8.100;0;0.059;0.026;
746;28.59;25.03;25.23;9.067;8.100;0;0.060;0.027;
747;28.69;25.03;25.23;9.038;8.085;0;0.058;0.029;
748;28.59;25.03;25.23;9.067;8.100;0;0.056;0.026;
749;28.69;25.03;25.23;9.038;8.085;0;0.059;0.026;
750;28.69;25.03;25.23;9.038;8.071;0;0.058;0.027;
752;28.69;25.03;25.23;9.067;8.115;0;0.058;0.028;
753;28.69;25.03;25.23;9.038;8.071;0;0.059;0.027;
754;28.59;25.03;25.13;9.052;8.085;0;0.063;0.023;
755;28.59;25.03;25.23;9.038;8.085;0;0.056;0.028;
756;28.69;25.13;25.23;9.067;8.115;0;0.057;0.027;
757;28.59;25.03;25.23;9.023;8.071;0;0.057;0.033;
759;28.59;25.13;25.23;9.023;8.071;0;0.058;0.025;
760;28.69;25.03;25.23;9.067;8.115;0;0.055;0.027;
761;28.69;25.03;25.23;9.038;8.071;0;0.056;0.028;
762;28.69;25.03;25.23;9.038;8.071;0;0.057;0.023;
763;28.59;25.03;25.23;9.067;8.100;0;0.057;0.025;
764;28.69;25.03;25.23;9.067;8.100;0;0.061;0.025;
765;28.69;25.13;25.23;9.038;8.071;0;0.060;0.026;
766;28.59;25.03;25.23;9.052;8.085;0;0.056;0.024;
768;28.59;25.03;25.23;9.038;8.085;0;0.053;0.026;
769;28.59;25.03;25.23;9.067;8.100;0;0.060;0.028;
770;28.69;25.03;25.23;9.038;8.085;0;0.058;0.024;
771;28.59;25.03;25.23;9.067;8.100;0;0.060;0.027;
772;28.59;25.03;25.33;9.067;8.115;0;0.052;0.026;
774;28.59;25.03;25.23;9.023;8.071;0;0.054;0.025;
775;28.69;25.03;25.23;9.067;8.115;0;0.057;0.027;
776;28.69;25.03;25.23;9.038;8.071;0;0.058;0.027;
777;28.69;25.13;25.23;9.038;8.085;0;0.062;0.023;
778;28.59;25.03;25.23;9.067;8.100;0;0.055;0.027;
779;28.59;25.03;25.13;9.067;8.100;0;0.055;0.028;
780;28.69;25.03;25.23;9.067;8.100;0;0.059;0.026;
781;28.59;25.03;25.33;9.038;8.085;0;0.058;0.027;
783;28.59;25.13;25.23;9.023;8.071;0;0.058;0.028;
784;28.59;25.03;25.23;9.067;8.100;0;0.062;0.025;
785;28.69;25.13;25.23;9.038;8.071;0;0.057;0.025;
786;28.69;25.13;25.23;9.023;8.071;0;0.058;0.027;
787;28.59;25.03;25.23;9.052;8.100;0;0.061;0.025;
788;28.69;25.13;25.33;9.067;8.115;0;0.057;0.025;
790;28.59;25.13;25.33;9.052;8.100;0;0.059;0.030;
791;28.69;25.13;25.23;9.038;8.085;0;0.060;0.030;
792;28.59;25.03;25.23;9.038;8.071;0;0.057;0.030;
793;28.59;25.03;25.23;9.038;8.071;0;0.057;0.030;
794;28.69;25.13;25.33;9.067;8.100;0;0.060;0.025;
795;28.69;25.03;25.23;9.067;8.115;0;0.055;0.024;
797;28.69;25.13;25.33;9.052;8.100;0;0.058;0.024;
798;28.59;25.13;25.33;9.038;8.071;0;0.060;0.026;
799;28.59;25.03;25.23;9.023;8.071;0;0.056;0.025;
800;28.59;25.13;25.23;9.067;8.100;0;0.055;0.025;
801;28.69;25.13;25.33;9.067;8.115;0;0.058;0.030;
802;28.69;25.13;25.23;9.038;8.071;0;0.058;0.025;
803;28.59;25.03;25.23;9.067;8.100;0;0.058;0.025;
805;28.69;25.13;25.23;9.038;8.071;0;0.056;0.024;
806;28.59;25.03;25.33;9.023;8.071;0;0.055;0.026;
807;28.69;25.13;25.33;9.038;8.085;0;0.057;0.031;
808;28.69;25.13;25.33;9.023;8.071;0;0.057;0.027;
810;28.69;25.13;25.23;9.038;8.071;0;0.060;0.026;
811;28.69;25.03;25.23;9.067;8.115;0;0.059;0.028;
812;28.59;25.03;25.33;9.067;8.115;0;0.060;0.027;
813;28.59;25.13;25.33;9.038;8.071;0;0.056;0.027;
814;28.59;25.13;25.23;9.067;8.100;0;0.059;0.027;
815;28.69;25.13;25.33;9.023;8.071;0;0.058;0.028;
816;28.69;25.03;25.23;9.067;8.100;0;0.059;0.023;
818;28.59;25.13;25.33;9.067;8.100;0;0.057;0.027;
819;28.59;25.03;25.33;9.038;8.071;0;0.056;0.024;
820;28.59;25.03;25.33;9.067;8.115;0;0.062;0.027;
821;28.59;25.13;25.23;9.038;8.085;0;0.058;0.024;
822;28.69;25.13;25.33;9.067;8.100;0;0.055;0.028;
823;28.69;25.13;25.33;9.038;8.085;0;0.059;0.022;
824;28.69;25.03;25.33;9.038;8.071;0;0.055;0.028;
825;28.59;25.03;25.33;9.067;8.100;0;0.056;0.024;
827;28.69;25.03;25.23;9.082;8.115;0;0.052;0.031;
828;28.69;25.03;25.33;9.023;8.071;0;0.056;0.029;
829;28.59;25.03;25.33;9.023;8.071;0;0.053;0.027;
830;28.69;25.03;25.43;9.067;8.115;0;0.056;0.028;
831;28.69;25.13;25.43;9.052;8.100;0;0.061;0.028;
832;28.59;25.03;25.33;9.052;8.085;0;0.056;0.026;
833;28.69;25.03;25.33;9.038;8.085;0;0.056;0.022;
835;28.48;24.93;25.63;9.067;8.100;0;0.016;0.093;
836;28.59;25.13;28.38;9.082;8.115;0;0.084;0.058;
837;28.59;25.13;26.85;9.082;8.115;0;0.031;0.019;
